teamName,agents,website,facebook,instagram,linkedin,phone,company,network,location,avgHomePrice,latestVolume,latestTransactions,url
"Perry Wisdom Barrett Group","4","","","","","(214) 926-0158","Allie Beth Allman & Associates","LeadingRE, HomeServices of America","Dallas, TX","$2,875,706","$509.00M","177","https://www.realtrends.com/team-profile/perrywisdombarrettgroup-texas-alliebethallmanassociates/"
"Detwiler + Wood Group","5","","","","","","Compass","Compass","Dallas, TX","$3,452,030","$338.30M","98","https://www.realtrends.com/team-profile/detwiler-woodgroup-texas-compass/"
"The Rosen Group","5","https://therosengroup-re.com/","","https://www.instagram.com/the_rosen_group","","(214) 927-1313","Compass","Compass","Dallas, TX","$2,530,616","$174.61M","69","https://www.realtrends.com/team-profile/therosengroup-texas-compass/"
"JacksonSells Team","5","https://www.daveperrymiller.com/bio/jacksonsellsteam","https://www.facebook.com/jacksonsellsdallas/","https://www.instagram.com/jacksonsells_team/","https://www.linkedin.com/in/scott-jackson-3066a65/","(214) 827-2400","Ebby Halliday Companies - Dave Perry-Miller Real Estate","LeadingRE, HomeServices of America","Dallas, TX","$1,080,894","$115.66M","107","https://www.realtrends.com/team-profile/jacksonsellsteam-texas-ebbyhallidaycompanies-daveperry-millerrealestate/"
"Halum Fine Homes Real Estate Team","4","https://www.halumfinehomes.com/","","https://www.instagram.com/halumfinehomes","","(214) 240-2575","Compass","Compass","Dallas, TX","$3,891,944","$112.87M","29","https://www.realtrends.com/team-profile/halumfinehomesrealestateteam-texas-compass/"
"Jessica Koltun Home","3","https://www.koltunhome.com/","https://www.facebook.com/jessicakoltunhome/","","https://www.linkedin.com/in/jessicakoltun/","(214) 862-2284","Jessica Koltun Home","Independent/Other","Dallas, TX","$1,135,679","$111.30M","98","https://www.realtrends.com/team-profile/jessicakoltunhome-texas-jessicakoltunhome/"
"The Icon Team","5","","","","","(281) 339-1800","Keller Williams Realty - The Woodlands","Keller Williams","The Woodlands, TX","$419,741","$110.81M","264","https://www.realtrends.com/team-profile/theiconteam-texas-kellerwilliamsrealty-thewoodlands/"
"Elite Realty Group","5","https://www.redfin.com/","","","","","Redfin","Redfin","Fort Worth, TX","$574,586","$104.00M","181","https://www.realtrends.com/team-profile/eliterealtygroup-texas-redfin/"
"Nancy Johnson Group","5","","https://www.facebook.com/Nancyjohnsongroup","https://www.instagram.com/nancyjohnsongroup/","https://www.linkedin.com/in/nancy-johnson-19701512/","(214) 674-3840","Compass","Compass","Dallas, TX","$1,494,477","$100.13M","67","https://www.realtrends.com/team-profile/nancyjohnsongroup-texas-compass/"
"Becky Frey Real Estate Group","4","","","","","","Compass","Compass","Dallas, TX","$1,746,687","$96.07M","55","https://www.realtrends.com/team-profile/beckyfreyrealestategroup-texas-compass/"
"The Lakefront Group","4","https://www.lakehouses4sale.net/","https://www.facebook.com/LakeHouses4Sale","https://www.instagram.com/thelakefrontgroup/","https://www.linkedin.com/company/81589315/admin/dashboard/","(830) 221-6969","Keller Williams Realty Heritage","Keller Williams","Mcqueeney, TX","$1,064,867","$94.24M","88.5","https://www.realtrends.com/team-profile/thelakefrontgroup-texas-kellerwilliamsrealtyheritage/"
"Frankie Arthur Team","4","","","","","","Coldwell Banker Apex, Realtors","Coldwell Banker","Flower Mound, TX","$676,752","$92.04M","136","https://www.realtrends.com/team-profile/frankiearthurteam-texas-coldwellbankerapexrealtors/"
"Graziano Mathews","2","https://www.grazianomathews.com/","","","","(214) 641-1019","Allie Beth Allman & Associates","LeadingRE, HomeServices of America","Dallas, TX","$1,750,000","$91.00M","52","https://www.realtrends.com/team-profile/grazianomathews-texas-alliebethallmanassociates/"
"Julie Provenzano Group","5","","","","","","Compass","Compass","Dallas, TX","$1,559,359","$90.44M","58","https://www.realtrends.com/team-profile/julieprovenzanogroup-texas-compass/"
"Jobst Randall Team","4","https://www.briggsfreeman.com/","","","","(214) 533-8355","Briggs Freeman Sotheby's International Realty","Sotheby's International Realty","Dallas, TX","$2,894,704","$88.00M","30.4","https://www.realtrends.com/team-profile/jobstrandallteam-texas-briggsfreemansotheby-sinternationalrealty/"
"The Monroe and Warrell Team","2","","","https://www.instagram.com/themonroeandwarrellteam","","","Sotheby's International Realty, Inc.","Sotheby's International Realty","Houston, TX","$1,486,740","$85.49M","57.5","https://www.realtrends.com/team-profile/themonroeandwarrellteam-texas-sotheby-sinternationalrealtyinc/"
"Eleazer Group","2","https://www.joaneleazer.com/","","https://www.instagram.com/joanandlayne_homes","","(214) 537-5923","Compass","Compass","Dallas, TX","$3,077,780","$83.10M","27","https://www.realtrends.com/team-profile/eleazergroup-texas-compass/"
"Go Getters Multifamily Team","4","","","","","(806) 777-4459","Keller Williams Realty","Keller Williams","Lubbock, TX","$7,872,621","$81.09M","10.3","https://www.realtrends.com/team-profile/gogettersmultifamilyteam-texas-kellerwilliamsrealty/"
"Realty Haus Group","4","https://realtyhaus.com/","https://www.facebook.com/share/9wewo7sgKwHQLEqD/?mibextid=LQQJ4d","https://www.instagram.com/realty.haus","https://www.linkedin.com/in/anthony-gibson-539a4924","(512) 699-8507","Keller Williams","Keller Williams","Austin, TX","$951,616","$79.94M","84","https://www.realtrends.com/team-profile/realtyhausgroup-texas-kellerwilliams/"
"The Harrison Polsky Team","2","","","","","","Douglas Elliman","Independent/Other","Dallas, TX","$757,488","$78.78M","104","https://www.realtrends.com/team-profile/theharrisonpolskyteam-texas-douglaselliman/"
"The Driskill Group","3","https://www.driskillgroup.com/","","https://www.instagram.com/driskillgroup","","(512) 658-0773","Kuper Sotheby's International Realty","Sotheby's International Realty","Austin, TX","$804,931","$41.86M","52","https://www.realtrends.com/team-profile/thedriskillgroup-texas-kupersotheby-sinternationalrealty/"
"Slater Real Estate Group","5","https://www.theslaterrealestategroup.com/","https://www.realtrends.com/team-profile/slaterrealestategroup-texas-compass/www.facebook.com/slatersellsdfw","http://www.instagram.com/slater_realestategroup","","(214) 226-7284","Compass","Compass","Dallas, TX","$970,347","$41.72M","43","https://www.realtrends.com/team-profile/slaterrealestategroup-texas-compass/"
"The Thornton Group","2","https://www.redfin.com/","","","","","Redfin","Redfin","Frisco, TX","$578,961","$41.69M","72","https://www.realtrends.com/team-profile/thethorntongroup-texas-redfin/"
"Next Move Group","2","","","","","","Douglas Elliman","Independent/Other","Austin, TX","$920,585","$41.43M","45","https://www.realtrends.com/team-profile/nextmovegroup-texas-douglaselliman/"
"Birdwell Residential Group","3","","","","","","Compass","Compass","Austin, TX","$2,267,677","$40.82M","18","https://www.realtrends.com/team-profile/birdwellresidentialgroup-texas-compass/"
"The Real McCoys®","5","","","","","(214) 649-5146","Keller Williams Realty Legacy","Keller Williams","Plano, TX","$615,732","$40.64M","66","https://www.realtrends.com/team-profile/therealmccoys-texas-kellerwilliamsrealtylegacy/"
"Duncan Realty Group","5","","","","","(806) 577-5595","Keller Williams Realty","Keller Williams","Lubbock, TX","$337,224","$40.47M","120","https://www.realtrends.com/team-profile/duncanrealtygroup-texas-kellerwilliamsrealty/"
"Kimmel Real Estate Group","5","","","","","(325) 439-0787","KW Synergy","Keller Williams","Abilene, TX","$264,403","$40.45M","153","https://www.realtrends.com/team-profile/kimmelrealestategroup-texas-kwsynergy/"
"E-Lit Realty Group","5","https://e-litrealty.kw.com/","https://www.facebook.com/elitrealtytx","https://www.instagram.com/e_litrealty/","https://www.linkedin.com/company/e-lit-realty/","(512) 786-0476","Keller Williams Realty","Keller Williams","Austin, TX","$337,556","$40.34M","119.5","https://www.realtrends.com/team-profile/e-litrealtygroup-texas-kellerwilliamsrealty/"
"Realty Performance Partners Group","4","https://www.realtyperformancepartners.com/","","","","(972) 898-6600","RE/MAX Dallas Suburbs","RE/MAX","Plano, TX","$716,983","$40.15M","56","https://www.realtrends.com/team-profile/realtyperformancepartnersgroup-texas-re-maxdallassuburbs/"
"The Raleigh Green Real Estate Group","4","https://www.briggsfreeman.com/","","","","(214) 208-7417","Briggs Freeman Sotheby's International Realty","Sotheby's International Realty","Fort Worth, TX","$784,383","$40.00M","51","https://www.realtrends.com/team-profile/theraleighgreenrealestategroup-texas-briggsfreemansotheby-sinternationalrealty/"
